SN		Schema 2.9																																																																				
SV		2.9																																																																				
C			4000																																																																			
T		TOKEN		CP5LLJ0																																																																		
HR	rowNumber	placementNumber	sourceID	site	packageNPackageType	groupName	primaryPlacement	placementName	supplierProductName	placementUrl	section	target	dimensions	dimensionsPosition	proposalCostMethod	unitType	rate	unitAmount	plannedCost	flightStart	flightEnd	creativeType	creativeTypeDescription	maxFileSize	creativeDueDate	servedBy	estimatedUniqueViews	estimatedPageViews	shareOfVoice	richMediaAccepted	richMediaFeeIncluded	flashVersion	maxLooping	maxAnimationTiming	comments	supplierValidityEndDate	supplerSalesOrderRef	supplierSalesOrderRefVersion	supplierSalesAdserverOID	supplierPlacementRef	supplierOrderDate	inventoryType	subsection	supplierPlacementParentRef	CC:AGE TARGETING	CC:GENDER TARGETING	CC:AGENCY-PUBLISHER PAID	CC:DAYPART TARGETING	CC:GEO TARGETING LEVEL	CC:BEHAVIORAL TARGETING	CC:CONTEXTUAL TARGETING	CC:RETARGETING	CC:CPE KPI	CC:PUBLISHER PRODUCT	CC:EXPIRATION_DATE	CC:FEES	CC:COMMISSION	CC:NEWCOLUMN	M:1	M:2	M:3	M:4	M:5	M:6	M:7	M:8	M:9	M:10	M:11	M:12
CH	Row Number	ID (For Prisma use only)	Seller System ID (For Mediaocean use only)	Site Name	Type	Package Name	Primary Placement (roadblock placements only)	Placement Name	Supplier Product Name	Placement URL	Section	Targeting Information	Unit Dimensions	Positioning	Cost Method	Unit Type	Unit Rate	Planned Unit Amount	Planned Cost	Flight Start	Flight End	Creative Type	Creative Type Description	Max File Size	Creative Due Date	Served by	Unique Views	Page Views	Share of Voice	Rich Media Accepted	Rich Media Included in Rate?	Flash Version	Max Looping	Max Animation	Comments	Pub Valid Until Date	Pub Sales Order Ref	Pub Sales Order Ref Version	Pub Ad Server Order No	Pub Placement Ref	Pub Order Date	Inventory Type	Sub-section	Pub placement parent ref	AGE TARGETING	GENDER TARGETING	AGENCY/PUBLISHER PAID	DAYPART TARGETING	GEO TARGETING LEVEL	BEHAVIORAL TARGETING	CONTEXTUAL TARGETING	RETARGETING	VENDOR PROPERTY TYPE	PUBLISHER PRODUCT	EXPIRATION DATE	FEES	COMMISSION	NEWCOLUMN	Jan16	Feb16	Mar16	Apr16	May16	Jun16	Jul16	Aug16	Sep16	Oct16	Nov16	Dec16
P	815			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign801			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	816			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign802			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	817			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign803			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	818			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign804			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	819			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign805			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	820			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign806			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	821			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign807			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	822			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign808			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	823			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign809			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	824			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign810			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	825			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign811			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	826			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign812			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	827			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign813			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	828			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign814			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	829			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign815			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	830			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign816			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	831			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign817			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	832			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign818			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	833			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign819			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	834			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign820			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	835			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign821			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	836			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign822			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	837			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign823			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	838			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign824			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	839			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign825			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	840			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign826			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
P	841			AUTOMATION SUPPLIER5 - 123	Display Standard			Performance Test Campaign827			ABCD	ABCD	120 x 60	Button 2	CPM	Impressions	2000	2000	4000	2016-01-01	2016-12-31					3rd party				No	No																							002-I-D					176	158	169	163	169	163	169	169	163	169	163	169
